@Start of Program
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~ Marvellous Automation ~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 


**********************************************************
Information of Currently Running Process : 
**********************************************************
{'pid': 0, 'name': 'System Idle Process'}
{'pid': 18232, 'name': 'msedgewebview2.exe'}
{'pid': 18472, 'name': 'TextInputHost.exe'}
{'pid': 18484, 'name': 'msedgewebview2.exe'}
{'pid': 18552, 'name': 'SystemSettingsBroker.exe'}
{'pid': 18584, 'name': 'svchost.exe'}
{'pid': 19168, 'name': 'SecurityHealthService.exe'}
{'pid': 19188, 'name': 'svchost.exe'}
{'pid': 19212, 'name': 'msedgewebview2.exe'}
{'pid': 19352, 'name': 'PanGPA.exe'}
{'pid': 19408, 'name': 'msedgewebview2.exe'}
{'pid': 19616, 'name': 'msedgewebview2.exe'}
{'pid': 19704, 'name': 'msedgewebview2.exe'}
{'pid': 19980, 'name': 'usercontextservice.exe'}
{'pid': 20052, 'name': 'pc-client.exe'}
{'pid': 20164, 'name': 'OpenConsole.exe'}
{'pid': 20264, 'name': 'OneDrive.exe'}
{'pid': 20344, 'name': 'RuntimeBroker.exe'}
{'pid': 20392, 'name': 'LocationNotificationWindows.exe'}
{'pid': 20424, 'name': 'snipaste.exe'}
{'pid': 20440, 'name': 'Microsoft.SharePoint.exe'}
{'pid': 20468, 'name': 'kvoop.exe'}
{'pid': 20652, 'name': 'Receiver.exe'}
{'pid': 20720, 'name': 'RuntimeBroker.exe'}
{'pid': 20732, 'name': 'AMDRSServ.exe'}
{'pid': 20992, 'name': 'ONENOTEM.EXE'}
{'pid': 21140, 'name': 'OTEditTray.exe'}
{'pid': 21176, 'name': 'msedgewebview2.exe'}
{'pid': 21180, 'name': 'msedgewebview2.exe'}
{'pid': 21208, 'name': 'svchost.exe'}
{'pid': 21392, 'name': 'AMDRSSrcExt.exe'}
{'pid': 21400, 'name': 'amdow.exe'}
{'pid': 21544, 'name': 'msedgewebview2.exe'}
{'pid': 21664, 'name': 'AnalyticsSrv.exe'}
{'pid': 21684, 'name': 'msedgewebview2.exe'}
{'pid': 21740, 'name': 'msedgewebview2.exe'}
{'pid': 21788, 'name': 'msedgewebview2.exe'}
{'pid': 21796, 'name': 'WidgetService.exe'}
{'pid': 21936, 'name': 'concentr.exe'}
{'pid': 21972, 'name': 'msedgewebview2.exe'}
{'pid': 21988, 'name': 'msedgewebview2.exe'}
{'pid': 22072, 'name': 'redirector.exe'}
{'pid': 22076, 'name': 'msedgewebview2.exe'}
{'pid': 22508, 'name': 'RuntimeBroker.exe'}
{'pid': 22520, 'name': 'wfcrun32.exe'}
{'pid': 22536, 'name': 'msedgewebview2.exe'}
{'pid': 22720, 'name': 'msedgewebview2.exe'}
{'pid': 22768, 'name': 'msedgewebview2.exe'}
{'pid': 23068, 'name': 'msedgewebview2.exe'}
{'pid': 23084, 'name': 'svchost.exe'}
{'pid': 23280, 'name': 'Code.exe'}
{'pid': 23348, 'name': 'svchost.exe'}
{'pid': 23612, 'name': 'powershell.exe'}
{'pid': 23644, 'name': 'AuthManSvr.exe'}
{'pid': 23648, 'name': 'msedgewebview2.exe'}
{'pid': 23748, 'name': 'Microsoft.Management.Services.IntuneWindowsAgent.exe'}
{'pid': 23848, 'name': 'python.exe'}
{'pid': 24072, 'name': 'svchost.exe'}
{'pid': 24268, 'name': 'conhost.exe'}
{'pid': 24280, 'name': 'Code.exe'}
{'pid': 24360, 'name': 'cmd.exe'}
{'pid': 24420, 'name': 'msedgewebview2.exe'}
{'pid': 24476, 'name': 'nxtcod.exe'}
{'pid': 25196, 'name': 'LockApp.exe'}
{'pid': 25428, 'name': 'SelfService.exe'}
{'pid': 25448, 'name': 'svchost.exe'}
{'pid': 25560, 'name': 'svchost.exe'}
{'pid': 25628, 'name': 'WmiPrvSE.exe'}
{'pid': 26608, 'name': 'WmiApSrv.exe'}
{'pid': 26688, 'name': 'RtkUWP.exe'}
{'pid': 26904, 'name': 'smartscreen.exe'}
{'pid': 26924, 'name': 'nxtupdater.exe'}
{'pid': 27620, 'name': 'LITSSvc.exe'}
{'pid': 27792, 'name': 'OpenConsole.exe'}
{'pid': 28956, 'name': 'conhost.exe'}
{'pid': 29120, 'name': 'conhost.exe'}
{'pid': 29424, 'name': 'ms-teams.exe'}
{'pid': 29636, 'name': 'SearchProtocolHost.exe'}
{'pid': 29940, 'name': 'powershell.exe'}
{'pid': 29968, 'name': 'SenseIR.exe'}
{'pid': 30052, 'name': 'nxteufb.exe'}
{'pid': 30208, 'name': 'nxtray.exe'}


 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~ ThananYou for ysing Our Script ~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~ Marvellous Automation ~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
@End of Program
