~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 03:11:55 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
0{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'}
0{'name': 'svchost.exe', 'pid': 6484, 'username': None}
0{'name': 'svchost.exe', 'pid': 6560, 'username': None}
0{'name': 'svchost.exe', 'pid': 6588, 'username': None}
0{'name': 'msedgewebview2.exe', 'pid': 6708, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 6772, 'username': None}
0{'name': 'svchost.exe', 'pid': 6904, 'username': None}
0{'name': 'svchost.exe', 'pid': 6932, 'username': None}
0{'name': 'SecurityHealthSystray.exe', 'pid': 6936, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'msedgewebview2.exe', 'pid': 6940, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'Code.exe', 'pid': 6948, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 7100, 'username': None}
0{'name': 'AcroRd32.exe', 'pid': 7120, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 7160, 'username': None}
0{'name': 'svchost.exe', 'pid': 7180, 'username': None}
0{'name': 'svchost.exe', 'pid': 7192, 'username': None}
0{'name': 'svchost.exe', 'pid': 7240, 'username': None}
0{'name': 'svchost.exe', 'pid': 7308, 'username': None}
0{'name': 'ms-teams.exe', 'pid': 7344, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'chrome.exe', 'pid': 7376, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 7416, 'username': None}
0{'name': 'chrome.exe', 'pid': 7480, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'chrome.exe', 'pid': 7648, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'Arellia.Agent.Service.exe', 'pid': 7712, 'username': None}
0{'name': '1E.Client.exe', 'pid': 7724, 'username': None}
0{'name': 'svchost.exe', 'pid': 7748, 'username': None}
0{'name': 'SmartStandby.exe', 'pid': 7760, 'username': None}
0{'name': 'FusionAPI.exe', 'pid': 7772, 'username': None}
0{'name': 'LITSSvc.exe', 'pid': 7780, 'username': None}
0{'name': 'svchost.exe', 'pid': 7796, 'username': None}
0{'name': 'ibmpmsvc.exe', 'pid': 7836, 'username': None}
0{'name': 'CSFalconService.exe', 'pid': 7852, 'username': None}
0{'name': 'LenovoVantageService.exe', 'pid': 7864, 'username': None}
0{'name': 'DAX3API.exe', 'pid': 7872, 'username': None}
0{'name': 'LenovoVisionService.exe', 'pid': 7896, 'username': None}
0{'name': 'PanGPS.exe', 'pid': 7924, 'username': None}
0{'name': 'MpDefenderCoreService.exe', 'pid': 7960, 'username': None}
0{'name': 'RtkAudUService64.exe', 'pid': 7988, 'username': None}
0{'name': 'svchost.exe', 'pid': 7996, 'username': None}
0{'name': 'snowagent.exe', 'pid': 8008, 'username': None}
0{'name': 'UpdaterService.exe', 'pid': 8016, 'username': None}
0{'name': 'msedgewebview2.exe', 'pid': 8032, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'UDClientService.exe', 'pid': 8044, 'username': None}
0{'name': 'MsSense.exe', 'pid': 8072, 'username': None}
0{'name': 'GoodixSessionService.exe', 'pid': 8092, 'username': None}
0{'name': 'svchost.exe', 'pid': 8124, 'username': None}
0{'name': 'GoToAssistProcessChecker.exe', 'pid': 8156, 'username': None}
0{'name': 'fppsvc.exe', 'pid': 8168, 'username': None}
0{'name': 'sqlwriter.exe', 'pid': 8176, 'username': None}
0{'name': 'MsMpEng.exe', 'pid': 8240, 'username': None}
0{'name': 'GoToAssistCrashHandler.exe', 'pid': 8300, 'username': None}
0{'name': 'RuntimeBroker.exe', 'pid': 8400, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'SelfServicePlugin.exe', 'pid': 8408, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'AppVClient.exe', 'pid': 8440, 'username': None}
