~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 03:13:23 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'}
196{'pid': 11176, 'name': 'svchost.exe', 'username': None}
197{'pid': 12076, 'name': 'msedge.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
198{'pid': 12112, 'name': 'LockApp.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
199{'pid': 12120, 'name': 'svchost.exe', 'username': None}
200{'pid': 12280, 'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
201{'pid': 12500, 'name': 'GoToAssistRemoteControl.exe', 'username': None}
202{'pid': 12716, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
203{'pid': 12868, 'name': 'RtkAudUService64.exe', 'username': None}
204{'pid': 13064, 'name': 'GoToAssistCrashHandler.exe', 'username': None}
205{'pid': 13084, 'name': 'svchost.exe', 'username': None}
206{'pid': 13268, 'name': 'SecurityHealthService.exe', 'username': None}
207{'pid': 13436, 'name': 'taskhostw.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
208{'pid': 13996, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
209{'pid': 14012, 'name': 'svchost.exe', 'username': None}
210{'pid': 14464, 'name': 'EPDCtrl.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
211{'pid': 14496, 'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
212{'pid': 14696, 'name': 'svchost.exe', 'username': None}
213{'pid': 14704, 'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
214{'pid': 14764, 'name': 'vds.exe', 'username': None}
215{'pid': 14816, 'name': 'tposd.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
216{'pid': 15132, 'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
217{'pid': 15136, 'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
218{'pid': 15572, 'name': 'sihost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
219{'pid': 15592, 'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
220{'pid': 15628, 'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
221{'pid': 15636, 'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
222{'pid': 15680, 'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
223{'pid': 15756, 'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
224{'pid': 15808, 'name': 'taskhostw.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
225{'pid': 15908, 'name': 'shtctky.exe', 'username': None}
226{'pid': 15916, 'name': 'PowerMgr.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
227{'pid': 16096, 'name': 'PanGPA.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
228{'pid': 16196, 'name': 'Lenovo.Modern.ImController.exe', 'username': None}
229{'pid': 16212, 'name': 'AppVStreamingUX.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
230{'pid': 16224, 'name': 'svchost.exe', 'username': None}
231{'pid': 16428, 'name': 'conhost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
232{'pid': 16472, 'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
233{'pid': 16588, 'name': 'GoToAssistCustomerAttendedAppUi.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
234{'pid': 17036, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
235{'pid': 17140, 'name': 'RtkAudUService64.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
236{'pid': 17340, 'name': 'dllhost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
237{'pid': 17348, 'name': 'svchost.exe', 'username': None}
238{'pid': 17416, 'name': 'nxtusm.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
239{'pid': 17424, 'name': 'kvoop.exe', 'username': None}
240{'pid': 17516, 'name': 'wepsvc.exe', 'username': None}
241{'pid': 17576, 'name': 'WidgetService.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
242{'pid': 17596, 'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
243{'pid': 17660, 'name': 'svchost.exe', 'username': None}
244{'pid': 17676, 'name': 'nxtray.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
245{'pid': 18032, 'name': 'GoToAssistCrashHandler.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
246{'pid': 18072, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
247{'pid': 18104, 'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
248{'pid': 18164, 'name': 'ApplicationFrameHost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
249{'pid': 18176, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
250{'pid': 18208, 'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
251{'pid': 18232, 'name': 'Microsoft.Notes.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
252{'pid': 18592, 'name': 'RuntimeBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
253{'pid': 18660, 'name': '1E.Client.Interaction.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
254{'pid': 18752, 'name': 'uhssvc.exe', 'username': None}
255{'pid': 18764, 'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
256{'pid': 18812, 'name': 'Widgets.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
257{'pid': 18864, 'name': 'RuntimeBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
258{'pid': 18896, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
259{'pid': 19072, 'name': 'RuntimeBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
260{'pid': 19096, 'name': 'RdrCEF.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
261{'pid': 19168, 'name': 'conhost.exe', 'username': None}
262{'pid': 19188, 'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
263{'pid': 19196, 'name': 'LocationNotificationWindows.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
264{'pid': 19248, 'name': 'snipaste.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
265{'pid': 19320, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
266{'pid': 19360, 'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
267{'pid': 19448, 'name': 'svchost.exe', 'username': None}
268{'pid': 19544, 'name': 'kvoop.exe', 'username': None}
269{'pid': 19680, 'name': 'WmiPrvSE.exe', 'username': None}
270{'pid': 19872, 'name': 'msedge.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
271{'pid': 19876, 'name': 'ctfmon.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
