~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 03:13:17 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1{'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'pid': 0}
133{'username': None, 'name': 'svchost.exe', 'pid': 7308}
134{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'ms-teams.exe', 'pid': 7344}
135{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 7376}
136{'username': None, 'name': 'svchost.exe', 'pid': 7416}
137{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 7480}
138{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 7648}
139{'username': None, 'name': 'Arellia.Agent.Service.exe', 'pid': 7712}
140{'username': None, 'name': '1E.Client.exe', 'pid': 7724}
141{'username': None, 'name': 'svchost.exe', 'pid': 7748}
142{'username': None, 'name': 'SmartStandby.exe', 'pid': 7760}
143{'username': None, 'name': 'FusionAPI.exe', 'pid': 7772}
144{'username': None, 'name': 'LITSSvc.exe', 'pid': 7780}
145{'username': None, 'name': 'svchost.exe', 'pid': 7796}
146{'username': None, 'name': 'ibmpmsvc.exe', 'pid': 7836}
147{'username': None, 'name': 'CSFalconService.exe', 'pid': 7852}
148{'username': None, 'name': 'LenovoVantageService.exe', 'pid': 7864}
149{'username': None, 'name': 'DAX3API.exe', 'pid': 7872}
150{'username': None, 'name': 'LenovoVisionService.exe', 'pid': 7896}
151{'username': None, 'name': 'PanGPS.exe', 'pid': 7924}
152{'username': None, 'name': 'MpDefenderCoreService.exe', 'pid': 7960}
153{'username': None, 'name': 'RtkAudUService64.exe', 'pid': 7988}
154{'username': None, 'name': 'svchost.exe', 'pid': 7996}
155{'username': None, 'name': 'snowagent.exe', 'pid': 8008}
156{'username': None, 'name': 'UpdaterService.exe', 'pid': 8016}
157{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 8032}
158{'username': None, 'name': 'UDClientService.exe', 'pid': 8044}
