@Start of Program
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~ Marvellous Automation ~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 


**********************************************************
Information of Currently Running Process : 
**********************************************************
{'name': 'EPDService.exe', 'username': None, 'pid': 5976, 'vms': 1.9140625}
{'name': 'atieclxx.exe', 'username': None, 'pid': 5988, 'vms': 5.1640625}
{'name': 'svchost.exe', 'username': None, 'pid': 6084, 'vms': 2.43359375}
{'name': 'MemCompression', 'username': None, 'pid': 6096, 'vms': 0.50390625}
{'name': 'RuntimeBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 6232, 'vms': 2.7109375}
{'name': 'svchost.exe', 'username': None, 'pid': 6264, 'vms': 4.44140625}
{'name': 'svchost.exe', 'username': None, 'pid': 6296, 'vms': 1.46875}
{'name': 'Lenovo.Modern.ImController.PluginHost.Device.exe', 'username': None, 'pid': 6332, 'vms': 21.37109375}
{'name': 'vds.exe', 'username': None, 'pid': 6344, 'vms': 2.4453125}
{'name': 'Code.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 6496, 'vms': 239.65234375}
{'name': 'svchost.exe', 'username': None, 'pid': 6516, 'vms': 3.5625}
{'name': 'svchost.exe', 'username': None, 'pid': 6532, 'vms': 12.5390625}
{'name': '1E.Client.Interaction.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 6580, 'vms': 40.0}
{'name': 'cncmd.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 6588, 'vms': 2.10546875}
{'name': 'RuntimeBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 6600, 'vms': 3.75390625}
{'name': 'svchost.exe', 'username': None, 'pid': 6684, 'vms': 11.6015625}
{'name': 'svchost.exe', 'username': None, 'pid': 6948, 'vms': 2.890625}
{'name': 'svchost.exe', 'username': None, 'pid': 6972, 'vms': 8.88671875}
{'name': 'svchost.exe', 'username': None, 'pid': 6976, 'vms': 1.69140625}
{'name': 'GoToAssistCustomerAttendedAppUi.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 7020, 'vms': 10.3046875}
{'name': 'svchost.exe', 'username': None, 'pid': 7032, 'vms': 2.16796875}
{'name': 'svchost.exe', 'username': None, 'pid': 7152, 'vms': 4.0546875}
{'name': 'svchost.exe', 'username': None, 'pid': 7184, 'vms': 3.0}
{'name': 'ApplicationFrameHost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 7200, 'vms': 42.70703125}
{'name': 'svchost.exe', 'username': None, 'pid': 7260, 'vms': 1.484375}
{'name': 'spoolsv.exe', 'username': None, 'pid': 7344, 'vms': 6.47265625}
{'name': 'Arellia.Agent.Service.exe', 'username': None, 'pid': 7356, 'vms': 76.796875}
{'name': 'svchost.exe', 'username': None, 'pid': 7452, 'vms': 2.41796875}
{'name': 'Code.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 7476, 'vms': 14.14453125}
{'name': '1E.Client.exe', 'username': None, 'pid': 7696, 'vms': 28.81640625}
{'name': 'wepsvc.exe', 'username': None, 'pid': 7788, 'vms': 18.453125}
{'name': 'UpdaterService.exe', 'username': None, 'pid': 7796, 'vms': 18.58984375}
{'name': 'LenovoVantageService.exe', 'username': None, 'pid': 7804, 'vms': 57.9140625}
{'name': 'ibmpmsvc.exe', 'username': None, 'pid': 7812, 'vms': 2.0}
{'name': 'RtkAudUService64.exe', 'username': None, 'pid': 7820, 'vms': 5.19921875}
{'name': 'LenovoVisionService.exe', 'username': None, 'pid': 7828, 'vms': 7.6875}
{'name': 'MsSense.exe', 'username': None, 'pid': 7836, 'vms': 125.43359375}
{'name': 'pc-print-deploy-client.exe', 'username': None, 'pid': 7844, 'vms': 14.91015625}
{'name': 'snowagent.exe', 'username': None, 'pid': 7868, 'vms': 7.6953125}
{'name': 'PanGPS.exe', 'username': None, 'pid': 7880, 'vms': 16.7109375}
{'name': 'MsMpEng.exe', 'username': None, 'pid': 7888, 'vms': 229.4609375}
{'name': 'svchost.exe', 'username': None, 'pid': 7896, 'vms': 2.1796875}
{'name': 'FusionAPI.exe', 'username': None, 'pid': 7904, 'vms': 1.9765625}
{'name': 'svchost.exe', 'username': None, 'pid': 7912, 'vms': 34.1015625}
{'name': 'GoToAssistProcessChecker.exe', 'username': None, 'pid': 7920, 'vms': 10.546875}
{'name': 'MpDefenderCoreService.exe', 'username': None, 'pid': 7940, 'vms': 9.12890625}
{'name': 'svchost.exe', 'username': None, 'pid': 7968, 'vms': 20.796875}
{'name': 'fppsvc.exe', 'username': None, 'pid': 7976, 'vms': 36.2734375}
{'name': 'sqlwriter.exe', 'username': None, 'pid': 7984, 'vms': 2.140625}
{'name': 'svchost.exe', 'username': None, 'pid': 7992, 'vms': 4.40625}
{'name': 'DAX3API.exe', 'username': None, 'pid': 8008, 'vms': 7.5859375}
{'name': 'SmartStandby.exe', 'username': None, 'pid': 8016, 'vms': 1.90234375}
{'name': 'svchost.exe', 'username': None, 'pid': 8024, 'vms': 1.51171875}
{'name': 'CSFalconService.exe', 'username': None, 'pid': 8040, 'vms': 154.3125}
{'name': 'OfficeClickToRun.exe', 'username': None, 'pid': 8080, 'vms': 36.52734375}
