@Start of Program
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~ Marvellous Automation ~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 


**********************************************************
Information of Currently Running Process : 
**********************************************************
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'svchost.exe', 'username': None, 'pid': 3980, 'vms': 1.828125}
{'name': 'svchost.exe', 'username': None, 'pid': 4020, 'vms': 7.5390625}
{'name': 'ArelliaACSvc.exe', 'username': None, 'pid': 4044, 'vms': 95.5234375}
{'name': 'Code.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 4092, 'vms': 88.3671875}
{'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 4132, 'vms': 3.6640625}
{'name': 'svchost.exe', 'username': None, 'pid': 4208, 'vms': 2.13671875}
{'name': 'svchost.exe', 'username': None, 'pid': 4216, 'vms': 12.90234375}
{'name': 'svchost.exe', 'username': None, 'pid': 4224, 'vms': 2.17578125}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 4280, 'vms': 1.5}
{'name': 'svchost.exe', 'username': None, 'pid': 4364, 'vms': 40.765625}
{'name': 'amdfendrsr.exe', 'username': None, 'pid': 4432, 'vms': 2.40625}
{'name': 'svchost.exe', 'username': None, 'pid': 4468, 'vms': 1.94921875}
{'name': 'svchost.exe', 'username': None, 'pid': 4580, 'vms': 1.33203125}
{'name': 'atiesrxx.exe', 'username': None, 'pid': 4628, 'vms': 2.08984375}
{'name': 'svchost.exe', 'username': None, 'pid': 4664, 'vms': 11.6640625}
{'name': 'WUDFCompanionHost.exe', 'username': None, 'pid': 4700, 'vms': 1.57421875}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 4772, 'vms': 20.69140625}
{'name': 'RuntimeBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 4800, 'vms': 6.58203125}
{'name': 'conhost.exe', 'username': None, 'pid': 4816, 'vms': 5.33984375}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 5000, 'vms': 1.58203125}
{'name': 'svchost.exe', 'username': None, 'pid': 5008, 'vms': 3.46875}
{'name': 'WindowsTerminal.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 5064, 'vms': 140.40234375}
{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 5088, 'vms': 8.87109375}
{'name': 'conhost.exe', 'username': None, 'pid': 5172, 'vms': 5.7890625}
{'name': 'svchost.exe', 'username': None, 'pid': 5268, 'vms': 1.98828125}
{'name': 'uhssvc.exe', 'username': None, 'pid': 5324, 'vms': 3.2421875}
{'name': 'svchost.exe', 'username': None, 'pid': 5464, 'vms': 2.546875}
{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 5608, 'vms': 8.86328125}
{'name': 'svchost.exe', 'username': None, 'pid': 5736, 'vms': 2.26953125}
{'name': 'svchost.exe', 'username': None, 'pid': 5832, 'vms': 2.7109375}
{'name': 'svchost.exe', 'username': None, 'pid': 5860, 'vms': 11.75}
{'name': 'NgcIso.exe', 'username': None, 'pid': 5880, 'vms': 1.140625}
{'name': 'Code.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 5904, 'vms': 11.078125}
{'name': 'svchost.exe', 'username': None, 'pid': 5952, 'vms': 1.3125}
{'name': 'svchost.exe', 'username': None, 'pid': 5956, 'vms': 3.17578125}
{'name': 'svchost.exe', 'username': None, 'pid': 5968, 'vms': 1.84375}
{'name': 'EPDService.exe', 'username': None, 'pid': 5976, 'vms': 1.9140625}
{'name': 'atieclxx.exe', 'username': None, 'pid': 5988, 'vms': 5.12890625}
{'name': 'svchost.exe', 'username': None, 'pid': 6084, 'vms': 2.46875}
{'name': 'MemCompression', 'username': None, 'pid': 6096, 'vms': 0.06640625}
{'name': 'svchost.exe', 'username': None, 'pid': 6264, 'vms': 4.46484375}
{'name': 'svchost.exe', 'username': None, 'pid': 6296, 'vms': 1.45703125}
{'name': 'vds.exe', 'username': None, 'pid': 6344, 'vms': 2.4453125}
{'name': 'Code.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 6496, 'vms': 257.140625}
{'name': 'svchost.exe', 'username': None, 'pid': 6516, 'vms': 3.5625}
{'name': 'svchost.exe', 'username': None, 'pid': 6532, 'vms': 12.4765625}
{'name': '1E.Client.Interaction.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 6580, 'vms': 40.71875}
{'name': 'cncmd.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 6588, 'vms': 2.10546875}
{'name': 'svchost.exe', 'username': None, 'pid': 6684, 'vms': 11.60546875}
{'name': 'svchost.exe', 'username': None, 'pid': 6948, 'vms': 2.8828125}
{'name': 'svchost.exe', 'username': None, 'pid': 6972, 'vms': 8.85546875}
{'name': 'svchost.exe', 'username': None, 'pid': 6976, 'vms': 1.8125}
{'name': 'GoToAssistCustomerAttendedAppUi.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 7020, 'vms': 10.22265625}
{'name': 'svchost.exe', 'username': None, 'pid': 7032, 'vms': 2.16796875}
{'name': 'svchost.exe', 'username': None, 'pid': 7152, 'vms': 4.171875}
{'name': 'svchost.exe', 'username': None, 'pid': 7184, 'vms': 3.0}
{'name': 'ApplicationFrameHost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 7200, 'vms': 43.171875}
{'name': 'svchost.exe', 'username': None, 'pid': 7260, 'vms': 1.484375}
{'name': 'spoolsv.exe', 'username': None, 'pid': 7344, 'vms': 6.57421875}
{'name': 'Arellia.Agent.Service.exe', 'username': None, 'pid': 7356, 'vms': 80.484375}
{'name': 'svchost.exe', 'username': None, 'pid': 7452, 'vms': 2.4453125}
{'name': 'Code.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 7476, 'vms': 14.1953125}
{'name': '1E.Client.exe', 'username': None, 'pid': 7696, 'vms': 28.73828125}
