~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 01:48:46 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1) {'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0}
114) {'name': 'svchost.exe', 'username': None, 'pid': 6380}
115) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 6428}
116) {'name': 'dllhost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 6432}
117) {'name': 'svchost.exe', 'username': None, 'pid': 6484}
118) {'name': 'svchost.exe', 'username': None, 'pid': 6560}
119) {'name': 'svchost.exe', 'username': None, 'pid': 6588}
120) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 6708}
121) {'name': 'svchost.exe', 'username': None, 'pid': 6772}
122) {'name': 'svchost.exe', 'username': None, 'pid': 6904}
123) {'name': 'svchost.exe', 'username': None, 'pid': 6932}
124) {'name': 'SecurityHealthSystray.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 6936}
125) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 6940}
126) {'name': 'Code.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 6948}
127) {'name': 'svchost.exe', 'username': None, 'pid': 7100}
128) {'name': 'AcroRd32.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 7120}
129) {'name': 'svchost.exe', 'username': None, 'pid': 7160}
130) {'name': 'svchost.exe', 'username': None, 'pid': 7180}
131) {'name': 'svchost.exe', 'username': None, 'pid': 7192}
132) {'name': 'svchost.exe', 'username': None, 'pid': 7240}
133) {'name': 'svchost.exe', 'username': None, 'pid': 7308}
134) {'name': 'ms-teams.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 7344}
135) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 7376}
136) {'name': 'svchost.exe', 'username': None, 'pid': 7416}
137) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 7480}
138) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 7648}
139) {'name': 'Arellia.Agent.Service.exe', 'username': None, 'pid': 7712}
140) {'name': '1E.Client.exe', 'username': None, 'pid': 7724}
141) {'name': 'svchost.exe', 'username': None, 'pid': 7748}
142) {'name': 'SmartStandby.exe', 'username': None, 'pid': 7760}
143) {'name': 'FusionAPI.exe', 'username': None, 'pid': 7772}
144) {'name': 'LITSSvc.exe', 'username': None, 'pid': 7780}
145) {'name': 'svchost.exe', 'username': None, 'pid': 7796}
146) {'name': 'ibmpmsvc.exe', 'username': None, 'pid': 7836}
147) {'name': 'CSFalconService.exe', 'username': None, 'pid': 7852}
148) {'name': 'LenovoVantageService.exe', 'username': None, 'pid': 7864}
149) {'name': 'DAX3API.exe', 'username': None, 'pid': 7872}
150) {'name': 'LenovoVisionService.exe', 'username': None, 'pid': 7896}
151) {'name': 'PanGPS.exe', 'username': None, 'pid': 7924}
152) {'name': 'MpDefenderCoreService.exe', 'username': None, 'pid': 7960}
153) {'name': 'RtkAudUService64.exe', 'username': None, 'pid': 7988}
154) {'name': 'svchost.exe', 'username': None, 'pid': 7996}
155) {'name': 'snowagent.exe', 'username': None, 'pid': 8008}
156) {'name': 'UpdaterService.exe', 'username': None, 'pid': 8016}
157) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 8032}
158) {'name': 'UDClientService.exe', 'username': None, 'pid': 8044}
159) {'name': 'MsSense.exe', 'username': None, 'pid': 8072}
160) {'name': 'GoodixSessionService.exe', 'username': None, 'pid': 8092}
161) {'name': 'svchost.exe', 'username': None, 'pid': 8124}
162) {'name': 'GoToAssistProcessChecker.exe', 'username': None, 'pid': 8156}
163) {'name': 'fppsvc.exe', 'username': None, 'pid': 8168}
164) {'name': 'sqlwriter.exe', 'username': None, 'pid': 8176}
165) {'name': 'MsMpEng.exe', 'username': None, 'pid': 8240}
166) {'name': 'GoToAssistCrashHandler.exe', 'username': None, 'pid': 8300}
167) {'name': 'RuntimeBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 8400}
168) {'name': 'SelfServicePlugin.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 8408}
169) {'name': 'AppVClient.exe', 'username': None, 'pid': 8440}
170) {'name': 'sqlservr.exe', 'username': None, 'pid': 8476}
171) {'name': 'AggregatorHost.exe', 'username': None, 'pid': 8500}
172) {'name': 'sqlceip.exe', 'username': None, 'pid': 8524}
173) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 8592}
174) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 8856}
175) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 8980}
176) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 9240}
177) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 9252}
178) {'name': 'CSFalconContainer.exe', 'username': None, 'pid': 9264}
179) {'name': 'svchost.exe', 'username': None, 'pid': 9436}
180) {'name': 'CSFalconContainer.exe', 'username': None, 'pid': 9480}
181) {'name': 'GoToAssistCustomerAttendedApp.exe', 'username': None, 'pid': 9484}
182) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 9512}
183) {'name': 'msedge.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 9608}
184) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 9632}
185) {'name': 'tphkload.exe', 'username': None, 'pid': 9756}
186) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 9872}
187) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 9892}
188) {'name': 'kvoop.exe', 'username': None, 'pid': 10228}
189) {'name': 'DAX3API.exe', 'username': None, 'pid': 10232}
190) {'name': 'amdpmfserviceuser.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 10548}
191) {'name': 'CSFalconContainer.exe', 'username': None, 'pid': 10560}
192) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 10576}
193) {'name': 'GoToAssistCrashHandler.exe', 'username': None, 'pid': 10652}
194) {'name': 'GoToAssistCrashHandler.exe', 'username': None, 'pid': 10848}
195) {'name': 'WmiPrvSE.exe', 'username': None, 'pid': 10896}
196) {'name': 'svchost.exe', 'username': None, 'pid': 11176}
197) {'name': 'msedge.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 12076}
198) {'name': 'LockApp.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 12112}
199) {'name': 'svchost.exe', 'username': None, 'pid': 12120}
200) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 12280}
201) {'name': 'GoToAssistRemoteControl.exe', 'username': None, 'pid': 12500}
202) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 12716}
203) {'name': 'RtkAudUService64.exe', 'username': None, 'pid': 12868}
204) {'name': 'GoToAssistCrashHandler.exe', 'username': None, 'pid': 13064}
205) {'name': 'svchost.exe', 'username': None, 'pid': 13084}
206) {'name': 'SecurityHealthService.exe', 'username': None, 'pid': 13268}
207) {'name': 'taskhostw.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 13436}
208) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 13996}
209) {'name': 'svchost.exe', 'username': None, 'pid': 14012}
210) {'name': 'EPDCtrl.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 14464}
211) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 14496}
212) {'name': 'svchost.exe', 'username': None, 'pid': 14696}
213) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 14704}
214) {'name': 'vds.exe', 'username': None, 'pid': 14764}
215) {'name': 'tposd.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 14816}
216) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15132}
217) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15136}
218) {'name': 'sihost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15572}
219) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15592}
220) {'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15628}
221) {'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15636}
222) {'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15680}
223) {'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15756}
224) {'name': 'taskhostw.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15808}
225) {'name': 'shtctky.exe', 'username': None, 'pid': 15908}
226) {'name': 'PowerMgr.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15916}
227) {'name': 'PanGPA.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 16096}
228) {'name': 'Lenovo.Modern.ImController.exe', 'username': None, 'pid': 16196}
229) {'name': 'AppVStreamingUX.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 16212}
230) {'name': 'svchost.exe', 'username': None, 'pid': 16224}
231) {'name': 'conhost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 16428}
232) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 16472}
233) {'name': 'GoToAssistCustomerAttendedAppUi.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 16588}
234) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17036}
235) {'name': 'RtkAudUService64.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17140}
236) {'name': 'dllhost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17340}
237) {'name': 'svchost.exe', 'username': None, 'pid': 17348}
238) {'name': 'nxtusm.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17416}
239) {'name': 'kvoop.exe', 'username': None, 'pid': 17424}
240) {'name': 'wepsvc.exe', 'username': None, 'pid': 17516}
241) {'name': 'WidgetService.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17576}
242) {'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17596}
243) {'name': 'svchost.exe', 'username': None, 'pid': 17660}
244) {'name': 'nxtray.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17676}
245) {'name': 'GoToAssistCrashHandler.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18032}
246) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18072}
247) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18104}
248) {'name': 'ApplicationFrameHost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18164}
249) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18176}
250) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18208}
251) {'name': 'Microsoft.Notes.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18232}
252) {'name': 'RuntimeBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18592}
253) {'name': '1E.Client.Interaction.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18660}
254) {'name': 'uhssvc.exe', 'username': None, 'pid': 18752}
255) {'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18764}
256) {'name': 'Widgets.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18812}
257) {'name': 'RuntimeBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18864}
258) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18896}
259) {'name': 'RuntimeBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 19072}
260) {'name': 'RdrCEF.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 19096}
261) {'name': 'conhost.exe', 'username': None, 'pid': 19168}
262) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 19188}
263) {'name': 'LocationNotificationWindows.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 19196}
264) {'name': 'snipaste.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 19248}
265) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 19320}
266) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 19360}
267) {'name': 'svchost.exe', 'username': None, 'pid': 19448}
268) {'name': 'kvoop.exe', 'username': None, 'pid': 19544}
269) {'name': 'msedge.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 19872}
270) {'name': 'ctfmon.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 19876}
271) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 19884}
272) {'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 19984}
273) {'name': 'conhost.exe', 'username': None, 'pid': 20028}
274) {'name': 'LenovoVantage-(VantageCoreAddin).exe', 'username': None, 'pid': 20044}
275) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 20096}
276) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 20144}
277) {'name': 'conhost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 20404}
278) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 20476}
279) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 20828}
280) {'name': 'UserOOBEBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 20848}
281) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 21292}
282) {'name': 'msedge.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 21300}
283) {'name': 'AppProvisioningPlugin.exe', 'username': None, 'pid': 21312}
284) {'name': 'audiodg.exe', 'username': None, 'pid': 21388}
285) {'name': 'nxtbsm.exe', 'username': None, 'pid': 21404}
286) {'name': 'nxtcod.exe', 'username': None, 'pid': 21428}
287) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 21552}
288) {'name': 'AMDRSServ.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 21624}
289) {'name': 'cncmd.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 22444}
290) {'name': 'svchost.exe', 'username': None, 'pid': 22644}
291) {'name': 'concentr.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 22664}
292) {'name': 'wfcrun32.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 22720}
293) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 22788}
294) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 22824}
295) {'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 22908}
296) {'name': 'Code.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 22956}
297) {'name': 'kvoop.exe', 'username': None, 'pid': 23012}
298) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 23092}
299) {'name': 'RdrCEF.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 23188}
300) {'name': 'ONENOTE.EXE', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 23328}
301) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 23360}
302) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 23532}
303) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 23704}
304) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 24312}
305) {'name': 'RadeonSoftware.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 24476}
306) {'name': 'svchost.exe', 'username': None, 'pid': 25032}
307) {'name': 'svchost.exe', 'username': None, 'pid': 25152}
308) {'name': 'Microsoft.Management.Services.IntuneWindowsAgent.exe', 'username': None, 'pid': 25300}
309) {'name': 'AnalyticsSrv.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 25464}
310) {'name': 'amdow.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 25472}
311) {'name': 'AMDRSSrcExt.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 25480}
312) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 25620}
313) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 25640}
314) {'name': 'Receiver.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 25852}
315) {'name': 'pet.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 25956}
316) {'name': 'Code.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 26452}
317) {'name': 'ms-teams.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 26588}
