~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~ Marvallous Infosystem ~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 


~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1 )  {'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'}
128 )  {'name': 'msedgewebview2.exe', 'pid': 6940, 'username': 'QAMR-ACCOUNTS\\u1203282'}
129 )  {'name': 'Code.exe', 'pid': 6948, 'username': 'QAMR-ACCOUNTS\\u1203282'}
130 )  {'name': 'svchost.exe', 'pid': 7100, 'username': None}
131 )  {'name': 'AcroRd32.exe', 'pid': 7120, 'username': 'QAMR-ACCOUNTS\\u1203282'}
132 )  {'name': 'svchost.exe', 'pid': 7160, 'username': None}
133 )  {'name': 'svchost.exe', 'pid': 7180, 'username': None}
134 )  {'name': 'svchost.exe', 'pid': 7192, 'username': None}
135 )  {'name': 'svchost.exe', 'pid': 7240, 'username': None}
136 )  {'name': 'svchost.exe', 'pid': 7308, 'username': None}
137 )  {'name': 'ms-teams.exe', 'pid': 7344, 'username': 'QAMR-ACCOUNTS\\u1203282'}
138 )  {'name': 'chrome.exe', 'pid': 7376, 'username': 'QAMR-ACCOUNTS\\u1203282'}
139 )  {'name': 'svchost.exe', 'pid': 7416, 'username': None}
140 )  {'name': 'chrome.exe', 'pid': 7480, 'username': 'QAMR-ACCOUNTS\\u1203282'}
141 )  {'name': 'chrome.exe', 'pid': 7648, 'username': 'QAMR-ACCOUNTS\\u1203282'}
142 )  {'name': 'Arellia.Agent.Service.exe', 'pid': 7712, 'username': None}
143 )  {'name': '1E.Client.exe', 'pid': 7724, 'username': None}
144 )  {'name': 'svchost.exe', 'pid': 7748, 'username': None}
145 )  {'name': 'SmartStandby.exe', 'pid': 7760, 'username': None}
146 )  {'name': 'FusionAPI.exe', 'pid': 7772, 'username': None}
147 )  {'name': 'LITSSvc.exe', 'pid': 7780, 'username': None}
148 )  {'name': 'svchost.exe', 'pid': 7796, 'username': None}
149 )  {'name': 'ibmpmsvc.exe', 'pid': 7836, 'username': None}
150 )  {'name': 'CSFalconService.exe', 'pid': 7852, 'username': None}
151 )  {'name': 'LenovoVantageService.exe', 'pid': 7864, 'username': None}
152 )  {'name': 'DAX3API.exe', 'pid': 7872, 'username': None}
153 )  {'name': 'LenovoVisionService.exe', 'pid': 7896, 'username': None}
154 )  {'name': 'PanGPS.exe', 'pid': 7924, 'username': None}
155 )  {'name': 'MpDefenderCoreService.exe', 'pid': 7960, 'username': None}
156 )  {'name': 'RtkAudUService64.exe', 'pid': 7988, 'username': None}
157 )  {'name': 'svchost.exe', 'pid': 7996, 'username': None}
158 )  {'name': 'snowagent.exe', 'pid': 8008, 'username': None}
159 )  {'name': 'UpdaterService.exe', 'pid': 8016, 'username': None}
160 )  {'name': 'msedgewebview2.exe', 'pid': 8032, 'username': 'QAMR-ACCOUNTS\\u1203282'}
161 )  {'name': 'UDClientService.exe', 'pid': 8044, 'username': None}
162 )  {'name': 'MsSense.exe', 'pid': 8072, 'username': None}
163 )  {'name': 'GoodixSessionService.exe', 'pid': 8092, 'username': None}
164 )  {'name': 'svchost.exe', 'pid': 8124, 'username': None}
165 )  {'name': 'GoToAssistProcessChecker.exe', 'pid': 8156, 'username': None}
166 )  {'name': 'fppsvc.exe', 'pid': 8168, 'username': None}
167 )  {'name': 'sqlwriter.exe', 'pid': 8176, 'username': None}
168 )  {'name': 'MsMpEng.exe', 'pid': 8240, 'username': None}
169 )  {'name': 'GoToAssistCrashHandler.exe', 'pid': 8300, 'username': None}
170 )  {'name': 'RuntimeBroker.exe', 'pid': 8400, 'username': 'QAMR-ACCOUNTS\\u1203282'}
171 )  {'name': 'SelfServicePlugin.exe', 'pid': 8408, 'username': 'QAMR-ACCOUNTS\\u1203282'}
172 )  {'name': 'AppVClient.exe', 'pid': 8440, 'username': None}
173 )  {'name': 'sqlservr.exe', 'pid': 8476, 'username': None}
174 )  {'name': 'AggregatorHost.exe', 'pid': 8500, 'username': None}
175 )  {'name': 'sqlceip.exe', 'pid': 8524, 'username': None}
176 )  {'name': 'msedgewebview2.exe', 'pid': 8592, 'username': 'QAMR-ACCOUNTS\\u1203282'}
177 )  {'name': 'chrome.exe', 'pid': 8856, 'username': 'QAMR-ACCOUNTS\\u1203282'}
178 )  {'name': 'msedgewebview2.exe', 'pid': 8980, 'username': 'QAMR-ACCOUNTS\\u1203282'}
179 )  {'name': 'python.exe', 'pid': 9156, 'username': 'QAMR-ACCOUNTS\\u1203282'}
180 )  {'name': 'chrome.exe', 'pid': 9240, 'username': 'QAMR-ACCOUNTS\\u1203282'}
181 )  {'name': 'CSFalconContainer.exe', 'pid': 9264, 'username': None}
182 )  {'name': 'svchost.exe', 'pid': 9436, 'username': None}
183 )  {'name': 'msedgewebview2.exe', 'pid': 9456, 'username': 'QAMR-ACCOUNTS\\u1203282'}
184 )  {'name': 'CSFalconContainer.exe', 'pid': 9480, 'username': None}
185 )  {'name': 'GoToAssistCustomerAttendedApp.exe', 'pid': 9484, 'username': None}
186 )  {'name': 'msedgewebview2.exe', 'pid': 9512, 'username': 'QAMR-ACCOUNTS\\u1203282'}
187 )  {'name': 'msedgewebview2.exe', 'pid': 9632, 'username': 'QAMR-ACCOUNTS\\u1203282'}
188 )  {'name': 'tphkload.exe', 'pid': 9756, 'username': None}
189 )  {'name': 'chrome.exe', 'pid': 9872, 'username': 'QAMR-ACCOUNTS\\u1203282'}
190 )  {'name': 'chrome.exe', 'pid': 9892, 'username': 'QAMR-ACCOUNTS\\u1203282'}
191 )  {'name': 'kvoop.exe', 'pid': 10228, 'username': None}
192 )  {'name': 'DAX3API.exe', 'pid': 10232, 'username': None}
