~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 15:01:06 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1{'status': 'running', 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'pid': 0}
120{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 6588}
121{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 6708}
122{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 6772}
123{'status': 'running', 'username': None, 'name': 'kvoop.exe', 'pid': 6880}
124{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 6904}
125{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 6932}
126{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'SecurityHealthSystray.exe', 'pid': 6936}
127{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 6940}
128{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'Code.exe', 'pid': 6948}
129{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 7100}
130{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'AcroRd32.exe', 'pid': 7120}
131{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 7160}
132{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 7180}
133{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 7192}
134{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 7240}
135{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 7308}
136{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'ms-teams.exe', 'pid': 7344}
137{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 7376}
138{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 7416}
139{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 7480}
140{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 7648}
141{'status': 'running', 'username': None, 'name': 'Arellia.Agent.Service.exe', 'pid': 7712}
142{'status': 'running', 'username': None, 'name': '1E.Client.exe', 'pid': 7724}
143{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 7748}
144{'status': 'running', 'username': None, 'name': 'SmartStandby.exe', 'pid': 7760}
145{'status': 'running', 'username': None, 'name': 'FusionAPI.exe', 'pid': 7772}
146{'status': 'running', 'username': None, 'name': 'LITSSvc.exe', 'pid': 7780}
147{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 7796}
148{'status': 'running', 'username': None, 'name': 'ibmpmsvc.exe', 'pid': 7836}
149{'status': 'running', 'username': None, 'name': 'CSFalconService.exe', 'pid': 7852}
150{'status': 'running', 'username': None, 'name': 'LenovoVantageService.exe', 'pid': 7864}
151{'status': 'running', 'username': None, 'name': 'DAX3API.exe', 'pid': 7872}
152{'status': 'running', 'username': None, 'name': 'LenovoVisionService.exe', 'pid': 7896}
153{'status': 'running', 'username': None, 'name': 'PanGPS.exe', 'pid': 7924}
154{'status': 'running', 'username': None, 'name': 'MpDefenderCoreService.exe', 'pid': 7960}
155{'status': 'running', 'username': None, 'name': 'RtkAudUService64.exe', 'pid': 7988}
156{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 7996}
157{'status': 'running', 'username': None, 'name': 'snowagent.exe', 'pid': 8008}
158{'status': 'running', 'username': None, 'name': 'UpdaterService.exe', 'pid': 8016}
159{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 8032}
160{'status': 'running', 'username': None, 'name': 'UDClientService.exe', 'pid': 8044}
161{'status': 'running', 'username': None, 'name': 'MsSense.exe', 'pid': 8072}
162{'status': 'running', 'username': None, 'name': 'GoodixSessionService.exe', 'pid': 8092}
163{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 8124}
164{'status': 'running', 'username': None, 'name': 'GoToAssistProcessChecker.exe', 'pid': 8156}
165{'status': 'running', 'username': None, 'name': 'fppsvc.exe', 'pid': 8168}
166{'status': 'running', 'username': None, 'name': 'sqlwriter.exe', 'pid': 8176}
167{'status': 'running', 'username': None, 'name': 'MsMpEng.exe', 'pid': 8240}
168{'status': 'running', 'username': None, 'name': 'GoToAssistCrashHandler.exe', 'pid': 8300}
169{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RuntimeBroker.exe', 'pid': 8400}
170{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'SelfServicePlugin.exe', 'pid': 8408}
171{'status': 'running', 'username': None, 'name': 'AppVClient.exe', 'pid': 8440}
172{'status': 'running', 'username': None, 'name': 'sqlservr.exe', 'pid': 8476}
173{'status': 'running', 'username': None, 'name': 'AggregatorHost.exe', 'pid': 8500}
174{'status': 'running', 'username': None, 'name': 'sqlceip.exe', 'pid': 8524}
175{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 8592}
176{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 8856}
177{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 8980}
178{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 9240}
179{'status': 'running', 'username': None, 'name': 'CSFalconContainer.exe', 'pid': 9264}
180{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 9436}
181{'status': 'running', 'username': None, 'name': 'CSFalconContainer.exe', 'pid': 9480}
182{'status': 'running', 'username': None, 'name': 'GoToAssistCustomerAttendedApp.exe', 'pid': 9484}
183{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 9512}
184{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedge.exe', 'pid': 9608}
185{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 9632}
186{'status': 'running', 'username': None, 'name': 'tphkload.exe', 'pid': 9756}
187{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 9892}
188{'status': 'running', 'username': None, 'name': 'DAX3API.exe', 'pid': 10232}
189{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'amdpmfserviceuser.exe', 'pid': 10548}
190{'status': 'running', 'username': None, 'name': 'CSFalconContainer.exe', 'pid': 10560}
191{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 10576}
192{'status': 'running', 'username': None, 'name': 'GoToAssistCrashHandler.exe', 'pid': 10652}
193{'status': 'running', 'username': None, 'name': 'GoToAssistCrashHandler.exe', 'pid': 10848}
194{'status': 'running', 'username': None, 'name': 'WmiPrvSE.exe', 'pid': 10896}
195{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 11176}
196{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 11492}
197{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 11676}
198{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedge.exe', 'pid': 12076}
199{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 12120}
200{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 12280}
201{'status': 'running', 'username': None, 'name': 'GoToAssistRemoteControl.exe', 'pid': 12500}
202{'status': 'running', 'username': None, 'name': 'RtkAudUService64.exe', 'pid': 12868}
203{'status': 'running', 'username': None, 'name': 'GoToAssistCrashHandler.exe', 'pid': 13064}
204{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 13084}
205{'status': 'running', 'username': None, 'name': 'SecurityHealthService.exe', 'pid': 13268}
206{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'taskhostw.exe', 'pid': 13436}
207{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 13996}
208{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 14012}
209{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'EPDCtrl.exe', 'pid': 14464}
210{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 14496}
211{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 14696}
212{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 14704}
213{'status': 'running', 'username': None, 'name': 'vds.exe', 'pid': 14764}
214{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'tposd.exe', 'pid': 14816}
215{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 15132}
216{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 15136}
