~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 14:46:37 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1{'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'name': 'System Idle Process'}
140{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 7480, 'name': 'chrome.exe'}
141{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 7648, 'name': 'chrome.exe'}
142{'username': None, 'pid': 7712, 'name': 'Arellia.Agent.Service.exe'}
143{'username': None, 'pid': 7724, 'name': '1E.Client.exe'}
144{'username': None, 'pid': 7748, 'name': 'svchost.exe'}
145{'username': None, 'pid': 7760, 'name': 'SmartStandby.exe'}
146{'username': None, 'pid': 7772, 'name': 'FusionAPI.exe'}
147{'username': None, 'pid': 7780, 'name': 'LITSSvc.exe'}
148{'username': None, 'pid': 7796, 'name': 'svchost.exe'}
149{'username': None, 'pid': 7836, 'name': 'ibmpmsvc.exe'}
150{'username': None, 'pid': 7852, 'name': 'CSFalconService.exe'}
151{'username': None, 'pid': 7864, 'name': 'LenovoVantageService.exe'}
152{'username': None, 'pid': 7872, 'name': 'DAX3API.exe'}
153{'username': None, 'pid': 7896, 'name': 'LenovoVisionService.exe'}
154{'username': None, 'pid': 7924, 'name': 'PanGPS.exe'}
155{'username': None, 'pid': 7960, 'name': 'MpDefenderCoreService.exe'}
156{'username': None, 'pid': 7988, 'name': 'RtkAudUService64.exe'}
157{'username': None, 'pid': 7996, 'name': 'svchost.exe'}
158{'username': None, 'pid': 8008, 'name': 'snowagent.exe'}
159{'username': None, 'pid': 8016, 'name': 'UpdaterService.exe'}
160{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 8032, 'name': 'msedgewebview2.exe'}
161{'username': None, 'pid': 8044, 'name': 'UDClientService.exe'}
162{'username': None, 'pid': 8072, 'name': 'MsSense.exe'}
163{'username': None, 'pid': 8092, 'name': 'GoodixSessionService.exe'}
164{'username': None, 'pid': 8124, 'name': 'svchost.exe'}
165{'username': None, 'pid': 8156, 'name': 'GoToAssistProcessChecker.exe'}
166{'username': None, 'pid': 8168, 'name': 'fppsvc.exe'}
167{'username': None, 'pid': 8176, 'name': 'sqlwriter.exe'}
168{'username': None, 'pid': 8240, 'name': 'MsMpEng.exe'}
169{'username': None, 'pid': 8300, 'name': 'GoToAssistCrashHandler.exe'}
170{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 8400, 'name': 'RuntimeBroker.exe'}
171{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 8408, 'name': 'SelfServicePlugin.exe'}
172{'username': None, 'pid': 8440, 'name': 'AppVClient.exe'}
173{'username': None, 'pid': 8476, 'name': 'sqlservr.exe'}
174{'username': None, 'pid': 8500, 'name': 'AggregatorHost.exe'}
175{'username': None, 'pid': 8524, 'name': 'sqlceip.exe'}
176{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 8592, 'name': 'msedgewebview2.exe'}
177{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 8856, 'name': 'chrome.exe'}
178{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 8980, 'name': 'msedgewebview2.exe'}
179{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 9240, 'name': 'chrome.exe'}
180{'username': None, 'pid': 9264, 'name': 'CSFalconContainer.exe'}
181{'username': None, 'pid': 9436, 'name': 'svchost.exe'}
182{'username': None, 'pid': 9480, 'name': 'CSFalconContainer.exe'}
183{'username': None, 'pid': 9484, 'name': 'GoToAssistCustomerAttendedApp.exe'}
184{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 9512, 'name': 'msedgewebview2.exe'}
185{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 9608, 'name': 'msedge.exe'}
186{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 9632, 'name': 'msedgewebview2.exe'}
187{'username': None, 'pid': 9756, 'name': 'tphkload.exe'}
188{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 9892, 'name': 'chrome.exe'}
189{'username': None, 'pid': 10232, 'name': 'DAX3API.exe'}
190{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 10548, 'name': 'amdpmfserviceuser.exe'}
191{'username': None, 'pid': 10560, 'name': 'CSFalconContainer.exe'}
192{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 10576, 'name': 'chrome.exe'}
193{'username': None, 'pid': 10652, 'name': 'GoToAssistCrashHandler.exe'}
194{'username': None, 'pid': 10848, 'name': 'GoToAssistCrashHandler.exe'}
195{'username': None, 'pid': 10896, 'name': 'WmiPrvSE.exe'}
196{'username': None, 'pid': 11176, 'name': 'svchost.exe'}
197{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 11492, 'name': 'chrome.exe'}
198{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 11676, 'name': 'chrome.exe'}
199{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 12076, 'name': 'msedge.exe'}
200{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 12112, 'name': 'LockApp.exe'}
201{'username': None, 'pid': 12120, 'name': 'svchost.exe'}
202{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 12280, 'name': 'msedgewebview2.exe'}
203{'username': None, 'pid': 12500, 'name': 'GoToAssistRemoteControl.exe'}
204{'username': None, 'pid': 12868, 'name': 'RtkAudUService64.exe'}
205{'username': None, 'pid': 13064, 'name': 'GoToAssistCrashHandler.exe'}
206{'username': None, 'pid': 13084, 'name': 'svchost.exe'}
207{'username': None, 'pid': 13268, 'name': 'SecurityHealthService.exe'}
208{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 13436, 'name': 'taskhostw.exe'}
209{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 13996, 'name': 'chrome.exe'}
210{'username': None, 'pid': 14012, 'name': 'svchost.exe'}
211{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 14464, 'name': 'EPDCtrl.exe'}
212{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 14496, 'name': 'msedgewebview2.exe'}
213{'username': None, 'pid': 14696, 'name': 'svchost.exe'}
214{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 14704, 'name': 'msedgewebview2.exe'}
215{'username': None, 'pid': 14764, 'name': 'vds.exe'}
216{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 14816, 'name': 'tposd.exe'}
217{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15132, 'name': 'msedgewebview2.exe'}
218{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15136, 'name': 'msedgewebview2.exe'}
219{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15572, 'name': 'sihost.exe'}
220{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15592, 'name': 'msedgewebview2.exe'}
221{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15628, 'name': 'svchost.exe'}
222{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15636, 'name': 'svchost.exe'}
223{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15680, 'name': 'svchost.exe'}
224{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15756, 'name': 'svchost.exe'}
225{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15808, 'name': 'taskhostw.exe'}
226{'username': None, 'pid': 15908, 'name': 'shtctky.exe'}
227{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15916, 'name': 'PowerMgr.exe'}
228{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 16096, 'name': 'PanGPA.exe'}
229{'username': None, 'pid': 16196, 'name': 'Lenovo.Modern.ImController.exe'}
230{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 16212, 'name': 'AppVStreamingUX.exe'}
231{'username': None, 'pid': 16224, 'name': 'svchost.exe'}
232{'username': None, 'pid': 16272, 'name': 'svchost.exe'}
233{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 16428, 'name': 'conhost.exe'}
234{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 16472, 'name': 'msedgewebview2.exe'}
235{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 16588, 'name': 'GoToAssistCustomerAttendedAppUi.exe'}
236{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17036, 'name': 'chrome.exe'}
237{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17140, 'name': 'RtkAudUService64.exe'}
238{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17340, 'name': 'dllhost.exe'}
239{'username': None, 'pid': 17348, 'name': 'svchost.exe'}
240{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17416, 'name': 'nxtusm.exe'}
241{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17576, 'name': 'WidgetService.exe'}
242{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17596, 'name': 'svchost.exe'}
243{'username': None, 'pid': 17660, 'name': 'svchost.exe'}
244{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17676, 'name': 'nxtray.exe'}
245{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18032, 'name': 'GoToAssistCrashHandler.exe'}
246{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18072, 'name': 'chrome.exe'}
247{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18104, 'name': 'msedgewebview2.exe'}
248{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18164, 'name': 'ApplicationFrameHost.exe'}
249{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18176, 'name': 'chrome.exe'}
250{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18208, 'name': 'msedgewebview2.exe'}
251{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18232, 'name': 'Microsoft.Notes.exe'}
252{'username': None, 'pid': 18412, 'name': 'svchost.exe'}
253{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18592, 'name': 'RuntimeBroker.exe'}
254{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18660, 'name': '1E.Client.Interaction.exe'}
255{'username': None, 'pid': 18752, 'name': 'uhssvc.exe'}
256{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18764, 'name': 'svchost.exe'}
257{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18812, 'name': 'Widgets.exe'}
258{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18864, 'name': 'RuntimeBroker.exe'}
259{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18896, 'name': 'chrome.exe'}
260{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 19072, 'name': 'RuntimeBroker.exe'}
261{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 19096, 'name': 'RdrCEF.exe'}
262{'username': None, 'pid': 19168, 'name': 'conhost.exe'}
263{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 19188, 'name': 'msedgewebview2.exe'}
264{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 19196, 'name': 'LocationNotificationWindows.exe'}
265{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 19248, 'name': 'snipaste.exe'}
266{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 19320, 'name': 'chrome.exe'}
267{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 19360, 'name': 'msedgewebview2.exe'}
268{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 19872, 'name': 'msedge.exe'}
269{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 19876, 'name': 'ctfmon.exe'}
270{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 19884, 'name': 'chrome.exe'}
271{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 19984, 'name': 'svchost.exe'}
272{'username': None, 'pid': 20028, 'name': 'conhost.exe'}
273{'username': None, 'pid': 20044, 'name': 'LenovoVantage-(VantageCoreAddin).exe'}
274{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 20096, 'name': 'chrome.exe'}
275{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 20144, 'name': 'chrome.exe'}
276{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 20156, 'name': 'chrome.exe'}
277{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 20404, 'name': 'conhost.exe'}
278{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 20476, 'name': 'chrome.exe'}
279{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 20828, 'name': 'msedgewebview2.exe'}
280{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 20848, 'name': 'UserOOBEBroker.exe'}
281{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 21292, 'name': 'chrome.exe'}
282{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 21300, 'name': 'msedge.exe'}
283{'username': None, 'pid': 21312, 'name': 'AppProvisioningPlugin.exe'}
284{'username': None, 'pid': 21404, 'name': 'nxtbsm.exe'}
285{'username': None, 'pid': 21428, 'name': 'nxtcod.exe'}
286{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 21552, 'name': 'chrome.exe'}
287{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 21624, 'name': 'AMDRSServ.exe'}
288{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 21644, 'name': 'chrome.exe'}
289{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 22120, 'name': 'chrome.exe'}
290{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 22368, 'name': 'Notepad.exe'}
291{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 22444, 'name': 'cncmd.exe'}
292{'username': None, 'pid': 22644, 'name': 'svchost.exe'}
293{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 22664, 'name': 'concentr.exe'}
294{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 22720, 'name': 'wfcrun32.exe'}
295{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 22788, 'name': 'msedgewebview2.exe'}
296{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 22824, 'name': 'msedgewebview2.exe'}
297{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 22908, 'name': 'svchost.exe'}
298{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 22956, 'name': 'Code.exe'}
299{'username': None, 'pid': 23076, 'name': 'svchost.exe'}
300{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 23092, 'name': 'chrome.exe'}
301{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 23188, 'name': 'RdrCEF.exe'}
302{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 23328, 'name': 'ONENOTE.EXE'}
303{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 23360, 'name': 'msedgewebview2.exe'}
