~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 14:48:42 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'}
101{'name': 'svchost.exe', 'pid': 5392, 'username': None}
102{'name': 'MemCompression', 'pid': 5544, 'username': None}
103{'name': 'RuntimeBroker.exe', 'pid': 5684, 'username': 'QAMR-ACCOUNTS\\u1203282'}
104{'name': 'SystemSettingsBroker.exe', 'pid': 5760, 'username': 'QAMR-ACCOUNTS\\u1203282'}
105{'name': 'nxteufb.exe', 'pid': 5768, 'username': None}
106{'name': 'svchost.exe', 'pid': 5784, 'username': None}
107{'name': 'svchost.exe', 'pid': 5792, 'username': None}
108{'name': 'chrome.exe', 'pid': 5848, 'username': 'QAMR-ACCOUNTS\\u1203282'}
109{'name': 'NgcIso.exe', 'pid': 5868, 'username': None}
110{'name': 'svchost.exe', 'pid': 6084, 'username': None}
111{'name': 'EPDService.exe', 'pid': 6092, 'username': None}
112{'name': 'svchost.exe', 'pid': 6100, 'username': None}
113{'name': 'svchost.exe', 'pid': 6108, 'username': None}
114{'name': 'atieclxx.exe', 'pid': 6116, 'username': None}
115{'name': 'svchost.exe', 'pid': 6240, 'username': None}
116{'name': 'svchost.exe', 'pid': 6352, 'username': None}
117{'name': 'svchost.exe', 'pid': 6380, 'username': None}
118{'name': 'msedgewebview2.exe', 'pid': 6428, 'username': 'QAMR-ACCOUNTS\\u1203282'}
119{'name': 'dllhost.exe', 'pid': 6432, 'username': 'QAMR-ACCOUNTS\\u1203282'}
120{'name': 'svchost.exe', 'pid': 6484, 'username': None}
121{'name': 'svchost.exe', 'pid': 6560, 'username': None}
122{'name': 'svchost.exe', 'pid': 6588, 'username': None}
123{'name': 'msedgewebview2.exe', 'pid': 6708, 'username': 'QAMR-ACCOUNTS\\u1203282'}
124{'name': 'svchost.exe', 'pid': 6772, 'username': None}
125{'name': 'kvoop.exe', 'pid': 6880, 'username': None}
126{'name': 'svchost.exe', 'pid': 6904, 'username': None}
127{'name': 'svchost.exe', 'pid': 6932, 'username': None}
128{'name': 'SecurityHealthSystray.exe', 'pid': 6936, 'username': 'QAMR-ACCOUNTS\\u1203282'}
129{'name': 'msedgewebview2.exe', 'pid': 6940, 'username': 'QAMR-ACCOUNTS\\u1203282'}
130{'name': 'Code.exe', 'pid': 6948, 'username': 'QAMR-ACCOUNTS\\u1203282'}
131{'name': 'svchost.exe', 'pid': 7100, 'username': None}
132{'name': 'AcroRd32.exe', 'pid': 7120, 'username': 'QAMR-ACCOUNTS\\u1203282'}
133{'name': 'svchost.exe', 'pid': 7160, 'username': None}
134{'name': 'svchost.exe', 'pid': 7180, 'username': None}
135{'name': 'svchost.exe', 'pid': 7192, 'username': None}
136{'name': 'svchost.exe', 'pid': 7240, 'username': None}
137{'name': 'svchost.exe', 'pid': 7308, 'username': None}
138{'name': 'ms-teams.exe', 'pid': 7344, 'username': 'QAMR-ACCOUNTS\\u1203282'}
139{'name': 'chrome.exe', 'pid': 7376, 'username': 'QAMR-ACCOUNTS\\u1203282'}
140{'name': 'svchost.exe', 'pid': 7416, 'username': None}
141{'name': 'chrome.exe', 'pid': 7480, 'username': 'QAMR-ACCOUNTS\\u1203282'}
142{'name': 'chrome.exe', 'pid': 7648, 'username': 'QAMR-ACCOUNTS\\u1203282'}
143{'name': 'Arellia.Agent.Service.exe', 'pid': 7712, 'username': None}
144{'name': '1E.Client.exe', 'pid': 7724, 'username': None}
145{'name': 'svchost.exe', 'pid': 7748, 'username': None}
146{'name': 'SmartStandby.exe', 'pid': 7760, 'username': None}
147{'name': 'FusionAPI.exe', 'pid': 7772, 'username': None}
148{'name': 'LITSSvc.exe', 'pid': 7780, 'username': None}
149{'name': 'svchost.exe', 'pid': 7796, 'username': None}
150{'name': 'ibmpmsvc.exe', 'pid': 7836, 'username': None}
151{'name': 'CSFalconService.exe', 'pid': 7852, 'username': None}
152{'name': 'LenovoVantageService.exe', 'pid': 7864, 'username': None}
153{'name': 'DAX3API.exe', 'pid': 7872, 'username': None}
154{'name': 'LenovoVisionService.exe', 'pid': 7896, 'username': None}
155{'name': 'PanGPS.exe', 'pid': 7924, 'username': None}
156{'name': 'MpDefenderCoreService.exe', 'pid': 7960, 'username': None}
157{'name': 'RtkAudUService64.exe', 'pid': 7988, 'username': None}
158{'name': 'svchost.exe', 'pid': 7996, 'username': None}
159{'name': 'snowagent.exe', 'pid': 8008, 'username': None}
160{'name': 'UpdaterService.exe', 'pid': 8016, 'username': None}
161{'name': 'msedgewebview2.exe', 'pid': 8032, 'username': 'QAMR-ACCOUNTS\\u1203282'}
162{'name': 'UDClientService.exe', 'pid': 8044, 'username': None}
163{'name': 'MsSense.exe', 'pid': 8072, 'username': None}
164{'name': 'GoodixSessionService.exe', 'pid': 8092, 'username': None}
165{'name': 'svchost.exe', 'pid': 8124, 'username': None}
166{'name': 'GoToAssistProcessChecker.exe', 'pid': 8156, 'username': None}
167{'name': 'fppsvc.exe', 'pid': 8168, 'username': None}
168{'name': 'sqlwriter.exe', 'pid': 8176, 'username': None}
169{'name': 'MsMpEng.exe', 'pid': 8240, 'username': None}
170{'name': 'GoToAssistCrashHandler.exe', 'pid': 8300, 'username': None}
171{'name': 'RuntimeBroker.exe', 'pid': 8400, 'username': 'QAMR-ACCOUNTS\\u1203282'}
172{'name': 'SelfServicePlugin.exe', 'pid': 8408, 'username': 'QAMR-ACCOUNTS\\u1203282'}
173{'name': 'AppVClient.exe', 'pid': 8440, 'username': None}
174{'name': 'sqlservr.exe', 'pid': 8476, 'username': None}
175{'name': 'AggregatorHost.exe', 'pid': 8500, 'username': None}
176{'name': 'sqlceip.exe', 'pid': 8524, 'username': None}
177{'name': 'msedgewebview2.exe', 'pid': 8592, 'username': 'QAMR-ACCOUNTS\\u1203282'}
178{'name': 'chrome.exe', 'pid': 8856, 'username': 'QAMR-ACCOUNTS\\u1203282'}
179{'name': 'msedgewebview2.exe', 'pid': 8980, 'username': 'QAMR-ACCOUNTS\\u1203282'}
180{'name': 'chrome.exe', 'pid': 9240, 'username': 'QAMR-ACCOUNTS\\u1203282'}
181{'name': 'CSFalconContainer.exe', 'pid': 9264, 'username': None}
182{'name': 'svchost.exe', 'pid': 9436, 'username': None}
183{'name': 'CSFalconContainer.exe', 'pid': 9480, 'username': None}
184{'name': 'GoToAssistCustomerAttendedApp.exe', 'pid': 9484, 'username': None}
185{'name': 'msedgewebview2.exe', 'pid': 9512, 'username': 'QAMR-ACCOUNTS\\u1203282'}
186{'name': 'msedge.exe', 'pid': 9608, 'username': 'QAMR-ACCOUNTS\\u1203282'}
187{'name': 'msedgewebview2.exe', 'pid': 9632, 'username': 'QAMR-ACCOUNTS\\u1203282'}
188{'name': 'tphkload.exe', 'pid': 9756, 'username': None}
189{'name': 'chrome.exe', 'pid': 9892, 'username': 'QAMR-ACCOUNTS\\u1203282'}
190{'name': 'DAX3API.exe', 'pid': 10232, 'username': None}
191{'name': 'amdpmfserviceuser.exe', 'pid': 10548, 'username': 'QAMR-ACCOUNTS\\u1203282'}
192{'name': 'CSFalconContainer.exe', 'pid': 10560, 'username': None}
193{'name': 'chrome.exe', 'pid': 10576, 'username': 'QAMR-ACCOUNTS\\u1203282'}
194{'name': 'GoToAssistCrashHandler.exe', 'pid': 10652, 'username': None}
195{'name': 'GoToAssistCrashHandler.exe', 'pid': 10848, 'username': None}
196{'name': 'WmiPrvSE.exe', 'pid': 10896, 'username': None}
197{'name': 'svchost.exe', 'pid': 11176, 'username': None}
198{'name': 'chrome.exe', 'pid': 11492, 'username': 'QAMR-ACCOUNTS\\u1203282'}
199{'name': 'chrome.exe', 'pid': 11676, 'username': 'QAMR-ACCOUNTS\\u1203282'}
200{'name': 'msedge.exe', 'pid': 12076, 'username': 'QAMR-ACCOUNTS\\u1203282'}
201{'name': 'LockApp.exe', 'pid': 12112, 'username': 'QAMR-ACCOUNTS\\u1203282'}
202{'name': 'svchost.exe', 'pid': 12120, 'username': None}
203{'name': 'msedgewebview2.exe', 'pid': 12280, 'username': 'QAMR-ACCOUNTS\\u1203282'}
204{'name': 'GoToAssistRemoteControl.exe', 'pid': 12500, 'username': None}
205{'name': 'RtkAudUService64.exe', 'pid': 12868, 'username': None}
206{'name': 'GoToAssistCrashHandler.exe', 'pid': 13064, 'username': None}
207{'name': 'svchost.exe', 'pid': 13084, 'username': None}
208{'name': 'SecurityHealthService.exe', 'pid': 13268, 'username': None}
209{'name': 'taskhostw.exe', 'pid': 13436, 'username': 'QAMR-ACCOUNTS\\u1203282'}
210{'name': 'chrome.exe', 'pid': 13996, 'username': 'QAMR-ACCOUNTS\\u1203282'}
211{'name': 'svchost.exe', 'pid': 14012, 'username': None}
212{'name': 'EPDCtrl.exe', 'pid': 14464, 'username': 'QAMR-ACCOUNTS\\u1203282'}
213{'name': 'msedgewebview2.exe', 'pid': 14496, 'username': 'QAMR-ACCOUNTS\\u1203282'}
214{'name': 'svchost.exe', 'pid': 14696, 'username': None}
215{'name': 'msedgewebview2.exe', 'pid': 14704, 'username': 'QAMR-ACCOUNTS\\u1203282'}
216{'name': 'vds.exe', 'pid': 14764, 'username': None}
217{'name': 'tposd.exe', 'pid': 14816, 'username': 'QAMR-ACCOUNTS\\u1203282'}
218{'name': 'msedgewebview2.exe', 'pid': 15132, 'username': 'QAMR-ACCOUNTS\\u1203282'}
219{'name': 'msedgewebview2.exe', 'pid': 15136, 'username': 'QAMR-ACCOUNTS\\u1203282'}
220{'name': 'sihost.exe', 'pid': 15572, 'username': 'QAMR-ACCOUNTS\\u1203282'}
221{'name': 'msedgewebview2.exe', 'pid': 15592, 'username': 'QAMR-ACCOUNTS\\u1203282'}
222{'name': 'svchost.exe', 'pid': 15628, 'username': 'QAMR-ACCOUNTS\\u1203282'}
223{'name': 'svchost.exe', 'pid': 15636, 'username': 'QAMR-ACCOUNTS\\u1203282'}
224{'name': 'svchost.exe', 'pid': 15680, 'username': 'QAMR-ACCOUNTS\\u1203282'}
225{'name': 'svchost.exe', 'pid': 15756, 'username': 'QAMR-ACCOUNTS\\u1203282'}
226{'name': 'taskhostw.exe', 'pid': 15808, 'username': 'QAMR-ACCOUNTS\\u1203282'}
227{'name': 'shtctky.exe', 'pid': 15908, 'username': None}
228{'name': 'PowerMgr.exe', 'pid': 15916, 'username': 'QAMR-ACCOUNTS\\u1203282'}
229{'name': 'PanGPA.exe', 'pid': 16096, 'username': 'QAMR-ACCOUNTS\\u1203282'}
230{'name': 'Lenovo.Modern.ImController.exe', 'pid': 16196, 'username': None}
231{'name': 'AppVStreamingUX.exe', 'pid': 16212, 'username': 'QAMR-ACCOUNTS\\u1203282'}
232{'name': 'svchost.exe', 'pid': 16224, 'username': None}
233{'name': 'svchost.exe', 'pid': 16272, 'username': None}
234{'name': 'conhost.exe', 'pid': 16428, 'username': 'QAMR-ACCOUNTS\\u1203282'}
235{'name': 'msedgewebview2.exe', 'pid': 16472, 'username': 'QAMR-ACCOUNTS\\u1203282'}
236{'name': 'GoToAssistCustomerAttendedAppUi.exe', 'pid': 16588, 'username': 'QAMR-ACCOUNTS\\u1203282'}
237{'name': 'chrome.exe', 'pid': 17036, 'username': 'QAMR-ACCOUNTS\\u1203282'}
238{'name': 'RtkAudUService64.exe', 'pid': 17140, 'username': 'QAMR-ACCOUNTS\\u1203282'}
239{'name': 'dllhost.exe', 'pid': 17340, 'username': 'QAMR-ACCOUNTS\\u1203282'}
240{'name': 'svchost.exe', 'pid': 17348, 'username': None}
241{'name': 'nxtusm.exe', 'pid': 17416, 'username': 'QAMR-ACCOUNTS\\u1203282'}
242{'name': 'WidgetService.exe', 'pid': 17576, 'username': 'QAMR-ACCOUNTS\\u1203282'}
243{'name': 'svchost.exe', 'pid': 17596, 'username': 'QAMR-ACCOUNTS\\u1203282'}
244{'name': 'svchost.exe', 'pid': 17660, 'username': None}
245{'name': 'nxtray.exe', 'pid': 17676, 'username': 'QAMR-ACCOUNTS\\u1203282'}
246{'name': 'GoToAssistCrashHandler.exe', 'pid': 18032, 'username': 'QAMR-ACCOUNTS\\u1203282'}
247{'name': 'chrome.exe', 'pid': 18072, 'username': 'QAMR-ACCOUNTS\\u1203282'}
248{'name': 'msedgewebview2.exe', 'pid': 18104, 'username': 'QAMR-ACCOUNTS\\u1203282'}
249{'name': 'ApplicationFrameHost.exe', 'pid': 18164, 'username': 'QAMR-ACCOUNTS\\u1203282'}
250{'name': 'chrome.exe', 'pid': 18176, 'username': 'QAMR-ACCOUNTS\\u1203282'}
251{'name': 'msedgewebview2.exe', 'pid': 18208, 'username': 'QAMR-ACCOUNTS\\u1203282'}
252{'name': 'Microsoft.Notes.exe', 'pid': 18232, 'username': 'QAMR-ACCOUNTS\\u1203282'}
253{'name': 'svchost.exe', 'pid': 18412, 'username': None}
254{'name': 'RuntimeBroker.exe', 'pid': 18592, 'username': 'QAMR-ACCOUNTS\\u1203282'}
255{'name': '1E.Client.Interaction.exe', 'pid': 18660, 'username': 'QAMR-ACCOUNTS\\u1203282'}
256{'name': 'uhssvc.exe', 'pid': 18752, 'username': None}
257{'name': 'svchost.exe', 'pid': 18764, 'username': 'QAMR-ACCOUNTS\\u1203282'}
258{'name': 'Widgets.exe', 'pid': 18812, 'username': 'QAMR-ACCOUNTS\\u1203282'}
259{'name': 'RuntimeBroker.exe', 'pid': 18864, 'username': 'QAMR-ACCOUNTS\\u1203282'}
260{'name': 'chrome.exe', 'pid': 18896, 'username': 'QAMR-ACCOUNTS\\u1203282'}
261{'name': 'RuntimeBroker.exe', 'pid': 19072, 'username': 'QAMR-ACCOUNTS\\u1203282'}
262{'name': 'RdrCEF.exe', 'pid': 19096, 'username': 'QAMR-ACCOUNTS\\u1203282'}
263{'name': 'conhost.exe', 'pid': 19168, 'username': None}
264{'name': 'msedgewebview2.exe', 'pid': 19188, 'username': 'QAMR-ACCOUNTS\\u1203282'}
265{'name': 'LocationNotificationWindows.exe', 'pid': 19196, 'username': 'QAMR-ACCOUNTS\\u1203282'}
266{'name': 'snipaste.exe', 'pid': 19248, 'username': 'QAMR-ACCOUNTS\\u1203282'}
267{'name': 'chrome.exe', 'pid': 19320, 'username': 'QAMR-ACCOUNTS\\u1203282'}
268{'name': 'msedgewebview2.exe', 'pid': 19360, 'username': 'QAMR-ACCOUNTS\\u1203282'}
269{'name': 'msedge.exe', 'pid': 19872, 'username': 'QAMR-ACCOUNTS\\u1203282'}
270{'name': 'ctfmon.exe', 'pid': 19876, 'username': 'QAMR-ACCOUNTS\\u1203282'}
271{'name': 'chrome.exe', 'pid': 19884, 'username': 'QAMR-ACCOUNTS\\u1203282'}
272{'name': 'svchost.exe', 'pid': 19984, 'username': 'QAMR-ACCOUNTS\\u1203282'}
273{'name': 'conhost.exe', 'pid': 20028, 'username': None}
274{'name': 'LenovoVantage-(VantageCoreAddin).exe', 'pid': 20044, 'username': None}
275{'name': 'chrome.exe', 'pid': 20096, 'username': 'QAMR-ACCOUNTS\\u1203282'}
276{'name': 'chrome.exe', 'pid': 20144, 'username': 'QAMR-ACCOUNTS\\u1203282'}
277{'name': 'chrome.exe', 'pid': 20156, 'username': 'QAMR-ACCOUNTS\\u1203282'}
278{'name': 'conhost.exe', 'pid': 20404, 'username': 'QAMR-ACCOUNTS\\u1203282'}
279{'name': 'chrome.exe', 'pid': 20476, 'username': 'QAMR-ACCOUNTS\\u1203282'}
